Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R30","10K","R_0805_2012Metric",165.500000,-125.500000,180.000000,bottom
"R31","10K","R_0805_2012Metric",174.500000,-125.500000,0.000000,bottom
"R32","10K","R_0805_2012Metric",185.500000,-125.500000,180.000000,bottom
"R33","5.1K","R_0805_2012Metric",150.600000,-101.700000,0.000000,bottom
"R34","5.1K","R_0805_2012Metric",154.000000,-109.500000,0.000000,bottom
"R35","470","R_0805_2012Metric",105.000000,-112.000000,-90.000000,bottom
"R36","10K","R_0805_2012Metric",140.400000,-108.000000,90.000000,bottom
"R37","1.2K","R_0805_2012Metric",193.000000,-163.500000,90.000000,bottom
"R38","10K","R_0805_2012Metric",184.912500,-102.500000,180.000000,bottom
"R39","10K","R_0805_2012Metric",102.500000,-162.500000,-90.000000,bottom
"R40","1K","R_0805_2012Metric",114.412500,-177.000000,180.000000,bottom
"R41","1K","R_0805_2012Metric",125.412500,-177.000000,0.000000,bottom
"R42","1K","R_0805_2012Metric",134.412500,-177.000000,180.000000,bottom
"R43","1K","R_0805_2012Metric",145.587500,-177.000000,0.000000,bottom
"R44","1K","R_0805_2012Metric",154.500000,-137.000000,180.000000,bottom
"R45","1K","R_0805_2012Metric",165.500000,-137.000000,0.000000,bottom
"R46","1K","R_0805_2012Metric",174.500000,-137.000000,180.000000,bottom
"R47","1K","R_0805_2012Metric",185.500000,-137.000000,0.000000,bottom
"R48","1K","R_0805_2012Metric",114.000000,-157.000000,180.000000,bottom
"R49","1K","R_0805_2012Metric",125.587500,-157.000000,0.000000,bottom
"R50","1K","R_0805_2012Metric",134.500000,-157.000000,180.000000,bottom
"R51","1K","R_0805_2012Metric",145.412500,-157.000000,0.000000,bottom
"R52","1K","R_0805_2012Metric",154.000000,-157.000000,180.000000,bottom
"R53","1K","R_0805_2012Metric",165.587500,-157.000000,0.000000,bottom
"R54","1K","R_0805_2012Metric",174.000000,-157.000000,180.000000,bottom
"R55","1K","R_0805_2012Metric",185.500000,-157.000000,0.000000,bottom
"R56","10K","R_0805_2012Metric",189.300000,-110.012500,-90.000000,bottom
"R57","100","R_0805_2012Metric",114.700000,-107.400000,0.000000,bottom
"U1","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",167.500000,-106.500000,180.000000,bottom
